Student Name,Student ID,Attendance Percentage,Previous Exam Score,Previous Semester Score,Assignment Score,Internal Assessment Score,Study Hours per Day,Class Participation Percentage,Sleep Hours per Day,Final Exam Score
Student_1,1001,90.0,52.1,61.6,87.7,89.7,3.8,74.8,10.0,72.2
Student_2,1002,83.6,64.7,67.4,90.7,59.2,4.0,58.3,7.0,70.9
Student_3,1003,91.5,70.0,63.7,85.0,74.7,4.1,80.4,6.5,74.6
Student_4,1004,100.0,97.7,68.4,60.6,77.6,5.4,61.1,6.2,82.0
Student_5,1005,82.7,81.7,72.4,78.4,78.2,2.9,81.2,7.6,77.3
Student_6,1006,82.7,59.0,85.0,68.4,79.8,2.7,65.9,7.6,73.0
Student_7,1007,100.0,80.8,71.1,78.0,84.1,5.9,44.2,8.4,81.6
Student_8,1008,92.7,56.4,56.0,89.8,77.6,3.3,55.3,5.6,67.6
Student_9,1009,80.3,88.0,88.7,83.1,74.3,2.1,63.5,6.5,80.5
Student_10,1010,90.4,69.3,65.0,91.5,73.9,3.3,90.5,10.0,76.5
Student_11,1011,80.4,73.9,74.3,83.4,71.9,3.5,83.5,7.3,76.0
Student_12,1012,80.3,90.9,80.4,67.0,85.9,6.3,94.4,6.7,84.5
Student_13,1013,87.4,59.6,77.4,54.8,71.5,5.4,94.8,5.6,72.9
Student_14,1014,65.9,58.2,88.1,81.5,86.5,5.7,62.0,7.8,75.9
Student_15,1015,67.8,68.0,80.7,77.9,78.2,5.2,67.2,8.5,75.8
Student_16,1016,79.4,87.5,64.7,70.2,72.8,5.4,63.8,8.3,77.1
Student_17,1017,74.9,56.8,100.0,63.0,84.2,3.0,59.9,6.6,74.4
Student_18,1018,88.1,41.0,77.3,72.7,70.7,3.7,42.4,7.5,66.7
Student_19,1019,75.9,69.6,73.2,78.1,84.4,2.5,69.8,9.5,74.1
Student_20,1020,70.9,81.6,86.6,86.7,80.1,3.7,50.7,8.6,79.9
Student_21,1021,99.7,89.4,78.0,81.9,72.0,5.0,69.5,5.8,83.6
Student_22,1022,82.7,69.4,79.8,96.1,83.3,4.2,100.0,4.0,78.8
Student_23,1023,85.7,70.1,100.0,69.6,83.5,6.0,62.4,7.4,83.6
Student_24,1024,70.8,88.8,71.7,88.8,89.6,2.3,72.9,8.2,78.7
Student_25,1025,79.6,52.6,71.2,80.5,87.7,4.8,83.6,5.4,71.3
Student_26,1026,86.1,70.3,76.4,86.9,82.9,2.1,74.2,7.0,76.0
Student_27,1027,73.5,77.3,87.9,75.6,66.7,4.1,74.4,6.6,77.7
Student_28,1028,88.8,80.4,56.9,90.7,100.0,5.1,64.6,7.2,78.6
Student_29,1029,79.0,68.9,51.4,83.0,64.0,3.7,66.5,6.2,66.8
Student_30,1030,82.1,75.4,68.0,73.2,87.5,4.8,55.6,8.9,76.3
Student_31,1031,79.0,45.1,55.4,79.9,82.3,2.6,82.7,7.2,63.4
Student_32,1032,100.0,67.1,69.9,77.6,66.3,1.5,43.9,5.7,70.2
Student_33,1033,84.9,80.4,81.0,84.9,76.8,4.8,84.6,8.4,82.5
Student_34,1034,74.4,63.2,64.3,68.2,77.2,6.6,48.9,5.1,69.1
Student_35,1035,93.2,75.7,57.9,79.7,91.1,2.5,84.4,8.9,75.6
Student_36,1036,72.8,80.4,75.8,84.0,70.9,5.8,64.7,8.5,78.8
Student_37,1037,87.1,70.9,85.4,80.3,75.4,4.1,51.5,9.1,78.9
Student_38,1038,65.4,77.0,54.7,93.5,54.6,2.0,78.7,6.8,66.9
Student_39,1039,71.7,63.4,84.8,87.7,95.3,2.3,83.9,6.3,75.8
Student_40,1040,87.0,72.5,84.8,79.9,67.3,4.0,63.4,7.1,77.8
Student_41,1041,92.4,82.3,86.4,82.2,81.3,3.4,80.8,6.9,83.3
Student_42,1042,86.7,76.9,89.6,83.0,77.0,2.0,35.7,6.0,77.5
Student_43,1043,83.8,68.0,100.0,84.0,77.0,1.5,50.2,6.2,77.8
Student_44,1044,82.0,77.7,70.7,61.7,86.1,2.7,89.4,6.5,74.6
Student_45,1045,70.2,83.6,76.3,77.0,94.7,4.3,66.6,5.2,77.9
Student_46,1046,77.8,50.4,70.0,65.2,80.5,4.0,42.1,8.0,66.4
Student_47,1047,80.4,88.9,75.0,92.8,84.6,3.2,59.5,6.9,80.3
Student_48,1048,95.6,71.0,93.4,79.4,81.3,4.3,56.1,6.5,81.9
Student_49,1049,88.4,80.1,58.9,78.1,88.2,5.6,67.5,5.3,76.2
Student_50,1050,67.4,89.4,64.7,89.0,73.4,4.6,64.4,5.3,75.3
Student_51,1051,88.2,58.5,91.5,84.2,88.8,3.8,72.7,9.9,80.5
Student_52,1052,81.1,66.5,87.2,68.7,89.1,5.4,69.0,6.1,78.3
Student_53,1053,78.2,71.5,70.6,79.3,88.8,2.6,90.4,7.9,75.1
Student_54,1054,91.1,65.6,85.3,76.6,71.4,3.7,76.4,7.2,77.3
Student_55,1055,95.3,95.8,79.1,62.6,76.3,3.7,76.9,4.0,81.5
Student_56,1056,94.3,64.7,93.0,73.1,80.4,2.1,87.5,9.7,80.2
Student_57,1057,76.6,68.3,75.9,78.2,64.3,3.4,64.2,8.0,72.4
Student_58,1058,81.9,77.5,87.3,78.9,93.9,0.9,51.1,5.8,77.1
Student_59,1059,88.3,60.6,100.0,65.2,77.9,6.9,88.1,7.0,82.5
Student_60,1060,94.8,70.3,82.2,91.5,80.8,2.6,72.0,5.3,78.4
Student_61,1061,80.2,78.8,75.6,79.0,72.2,6.4,72.1,9.7,80.7
Student_62,1062,83.1,71.0,83.7,80.4,64.7,4.1,60.5,5.6,75.5
Student_63,1063,73.9,73.9,70.6,84.0,72.0,4.8,60.7,6.2,73.8
Student_64,1064,73.0,68.6,100.0,72.1,80.2,3.3,82.7,5.9,78.8
Student_65,1065,93.1,56.8,77.2,84.6,84.7,4.3,84.8,7.1,76.5
Student_66,1066,98.6,78.9,71.7,76.3,79.6,5.0,81.8,9.1,81.6
Student_67,1067,84.3,96.1,65.0,71.0,81.5,5.0,81.9,9.7,82.2
Student_68,1068,95.0,75.2,88.2,85.7,74.6,5.2,78.5,6.4,83.3
Student_69,1069,88.6,77.7,85.4,94.9,83.0,3.4,72.0,7.6,82.6
Student_70,1070,78.5,83.3,69.0,87.2,92.8,3.3,67.4,7.1,78.1
Student_71,1071,88.6,59.8,81.9,89.2,85.0,1.6,88.2,5.5,74.9
Student_72,1072,100.0,95.4,56.9,74.8,86.1,4.8,64.4,10.0,82.3
Student_73,1073,84.6,77.4,77.2,64.0,80.9,5.6,75.5,9.0,79.6
Student_74,1074,100.0,94.6,80.4,94.9,63.0,6.4,57.9,7.3,87.4
Student_75,1075,58.8,66.2,95.5,100.0,67.6,4.5,60.1,9.4,78.2
Student_76,1076,93.2,96.8,65.8,95.4,82.5,2.9,66.5,8.8,83.1
Student_77,1077,85.9,84.3,59.7,76.6,77.9,1.5,57.9,7.1,72.3
Student_78,1078,82.0,81.6,64.3,68.5,82.4,5.6,82.0,7.5,77.3
Student_79,1079,85.9,77.8,59.0,69.3,94.8,1.3,49.8,9.3,72.0
Student_80,1080,65.1,72.0,91.0,63.2,85.3,3.5,71.5,5.6,75.3
Student_81,1081,82.8,89.4,93.6,78.9,90.6,3.7,72.0,9.5,87.1
Student_82,1082,88.6,76.7,78.8,96.1,78.9,3.9,42.8,6.7,79.0
Student_83,1083,99.8,51.4,89.7,78.6,69.9,4.1,63.4,9.3,76.9
Student_84,1084,79.8,61.6,76.6,83.0,77.4,4.2,73.8,7.0,74.0
Student_85,1085,76.9,72.8,73.9,93.8,70.0,0.4,76.4,7.5,72.6
Student_86,1086,80.0,78.7,71.0,76.0,93.6,4.0,66.9,6.9,77.2
Student_87,1087,94.2,74.3,71.3,100.0,85.9,0.7,80.2,6.2,76.9
Student_88,1088,88.3,89.6,56.4,99.9,83.2,5.1,68.4,6.6,79.8
Student_89,1089,79.7,51.6,78.2,78.7,90.4,3.2,70.2,9.1,72.6
Student_90,1090,90.1,76.7,74.5,74.2,57.8,0.8,73.8,4.0,71.1
Student_91,1091,86.0,53.2,83.9,87.0,83.9,2.8,83.9,5.1,73.7
Student_92,1092,94.7,84.1,76.1,76.5,64.9,3.1,59.9,5.9,77.4
Student_93,1093,78.0,73.9,73.0,68.4,77.9,5.8,62.7,5.4,74.6
Student_94,1094,81.7,80.0,64.5,92.8,74.9,4.3,60.0,9.3,77.0
Student_95,1095,81.1,64.6,75.9,92.2,84.6,4.5,65.0,8.9,77.1
Student_96,1096,70.4,90.4,83.9,81.6,80.3,5.8,91.4,7.9,84.7
Student_97,1097,88.0,87.5,61.3,67.4,91.5,3.9,78.6,6.0,77.1
Student_98,1098,87.6,82.0,76.0,67.7,72.0,5.1,53.0,9.0,78.9
Student_99,1099,85.1,73.4,77.8,81.1,85.1,5.0,61.0,4.6,77.5
Student_100,1100,82.7,82.0,66.4,75.0,79.6,2.1,75.6,10.0,75.8
Student_101,1101,70.8,66.5,67.9,76.6,61.6,6.2,56.4,6.0,70.0
Student_102,1102,80.8,85.3,77.8,90.2,68.8,1.9,59.1,6.6,76.9
Student_103,1103,81.6,94.8,61.4,87.3,76.5,5.4,90.2,6.4,80.7
Student_104,1104,77.0,87.8,79.2,93.8,89.1,1.7,60.8,5.4,79.1
Student_105,1105,83.4,66.2,64.3,70.1,82.6,4.9,84.3,9.9,74.5
Student_106,1106,89.0,79.3,87.8,76.6,66.3,6.8,88.8,8.2,84.8
Student_107,1107,100.0,59.5,100.0,87.6,76.6,3.7,59.0,8.8,82.3
Student_108,1108,86.7,81.9,64.7,84.5,98.2,3.6,56.7,5.2,77.0
Student_109,1109,87.6,80.4,81.4,95.3,79.1,4.9,65.9,7.3,82.9
Student_110,1110,84.3,52.6,66.3,84.2,74.7,3.5,53.7,7.8,68.4
Student_111,1111,65.8,61.1,87.5,98.5,82.9,6.7,71.8,7.4,79.2
Student_112,1112,84.7,71.6,59.8,85.4,85.6,4.3,66.9,5.3,72.9
Student_113,1113,85.6,71.4,80.8,90.6,73.4,3.5,75.4,8.6,78.9
Student_114,1114,100.0,60.5,64.5,76.8,83.0,3.2,91.0,7.2,73.6
Student_115,1115,83.1,79.7,72.5,80.1,74.7,2.6,82.3,5.6,75.6
Student_116,1116,88.0,78.0,62.6,89.1,85.2,3.1,77.3,4.2,74.9
Student_117,1117,84.7,72.7,84.9,96.1,79.7,3.5,40.5,7.9,79.2
Student_118,1118,73.3,65.9,65.0,87.3,82.8,3.3,76.7,10.0,72.9
Student_119,1119,96.4,87.6,81.6,79.2,70.4,3.0,95.8,5.5,82.3
Student_120,1120,92.5,94.9,70.9,93.8,69.8,7.1,24.8,7.3,83.7
Student_121,1121,92.9,69.2,73.6,58.1,87.5,2.5,80.3,8.7,75.0
Student_122,1122,75.9,67.7,76.8,65.8,77.2,4.2,67.6,5.1,71.9
Student_123,1123,99.0,80.9,65.9,86.8,80.9,4.9,57.3,6.3,79.2
